data, label, result
"[DRL_Lecture_1_-_Policy_Gradient_(Review)-78](https://github.com/B06901141/Triphone-Demo/blob/master//dev/DRL_Lecture_1_-_Policy_Gradient_(Review)-78.wav?raw=true)","比如說 70% 會走 left，20% 走 right，10% 開火，等等","這個 其實 在 回頭 MAX 本身 這種 翻譯 是 存在 呢 開火 那 的 對應 的 那 "
"[DRL_Lecture_2_-__Proximal_Policy_Optimization_(PPO)-78](https://github.com/B06901141/Triphone-Demo/blob/master//dev/DRL_Lecture_2_-__Proximal_Policy_Optimization_(PPO)-78.wav?raw=true)","sample data","SAMPLE DATA "
"[DRL_Lecture_3_-_Q-learning_(Basic_Idea)-78](https://github.com/B06901141/Triphone-Demo/blob/master//dev/DRL_Lecture_3_-_Q-learning_(Basic_Idea)-78.wav?raw=true)","但是因為實際上，你當然不可能把所有的 state 通通都掃過","因為 實際上 你 當然 不 可能 把 所有 的 STATE 甚麼 山坡 "
"[DRL_Lecture_3_-_Q-learning_(Basic_Idea)-780](https://github.com/B06901141/Triphone-Demo/blob/master//dev/DRL_Lecture_3_-_Q-learning_(Basic_Idea)-780.wav?raw=true)","那在每一個 episode，就你拿你的 agent","每 一個 EPISODE TRAINING 那 你 的 AGENT "
"[DRL_Lecture_3_-_Q-learning_(Basic_Idea)-781](https://github.com/B06901141/Triphone-Demo/blob/master//dev/DRL_Lecture_3_-_Q-learning_(Basic_Idea)-781.wav?raw=true)","你拿你的 actor 去跟環境做互動","那 你 的 這個 ACTOR 去 跟 環境 做 不到 "
"[DRL_Lecture_3_-_Q-learning_(Basic_Idea)-782](https://github.com/B06901141/Triphone-Demo/blob/master//dev/DRL_Lecture_3_-_Q-learning_(Basic_Idea)-782.wav?raw=true)","那在每一次互動的過程中","那 每次 在 每 一次 互動 的 過程 中 "
"[DRL_Lecture_3_-_Q-learning_(Basic_Idea)-783](https://github.com/B06901141/Triphone-Demo/blob/master//dev/DRL_Lecture_3_-_Q-learning_(Basic_Idea)-783.wav?raw=true)","你都會得到一個 state st","你 都 會 得到 一個 STATE S T "
"[DRL_Lecture_3_-_Q-learning_(Basic_Idea)-784](https://github.com/B06901141/Triphone-Demo/blob/master//dev/DRL_Lecture_3_-_Q-learning_(Basic_Idea)-784.wav?raw=true)","一個遊戲的畫面","你 的 遊戲 的 畫面 "
"[DRL_Lecture_3_-_Q-learning_(Basic_Idea)-785](https://github.com/B06901141/Triphone-Demo/blob/master//dev/DRL_Lecture_3_-_Q-learning_(Basic_Idea)-785.wav?raw=true)","那你會採取某一個 action at","那 你 會 採取 過的 ACTION 給你 "
"[DRL_Lecture_3_-_Q-learning_(Basic_Idea)-786](https://github.com/B06901141/Triphone-Demo/blob/master//dev/DRL_Lecture_3_-_Q-learning_(Basic_Idea)-786.wav?raw=true)","那怎麼知道採取那一個 action at 呢？你就根據你現在的 Q-function","那 怎麼 知道 才能 ACTION EFFICIENT 的 機率 最大 的 FUNCTION "
"[DRL_Lecture_3_-_Q-learning_(Basic_Idea)-787](https://github.com/B06901141/Triphone-Demo/blob/master//dev/DRL_Lecture_3_-_Q-learning_(Basic_Idea)-787.wav?raw=true)","但是記得你要有 exploration 的機制","那 設計 的 一樣 的 INFORMATION 幾次 "
"[DRL_Lecture_3_-_Q-learning_(Basic_Idea)-788](https://github.com/B06901141/Triphone-Demo/blob/master//dev/DRL_Lecture_3_-_Q-learning_(Basic_Idea)-788.wav?raw=true)","比如說你用 Boltzmann exploration 或是 Epsilon Greedy的 exploration","你 要 做 出來 REGRESSION 跟 X 的 規律 的 INFORMATION "
"[DRL_Lecture_3_-_Q-learning_(Basic_Idea)-789](https://github.com/B06901141/Triphone-Demo/blob/master//dev/DRL_Lecture_3_-_Q-learning_(Basic_Idea)-789.wav?raw=true)","也有一點 exploration 的機制","你 GRADIENT OPERATION 其實 "
"[DRL_Lecture_4_-_Q-learning_(Advanced_Tips)-78](https://github.com/B06901141/Triphone-Demo/blob/master//dev/DRL_Lecture_4_-_Q-learning_(Advanced_Tips)-78.wav?raw=true)","來當作你的 target value","來 當作 你 的 TARGET VALUE "
"[DRL_Lecture_5_-_Q-learning_(Continuous_Action)-78](https://github.com/B06901141/Triphone-Demo/blob/master//dev/DRL_Lecture_5_-_Q-learning_(Continuous_Action)-78.wav?raw=true)","那當然這個不是一個 非常精確的做法","那 在 這組 新 的 PATTERN 精確 的 做法 "
"[DRL_Lecture_6_-_Actor-Critic-78](https://github.com/B06901141/Triphone-Demo/blob/master//dev/DRL_Lecture_6_-_Actor-Critic-78.wav?raw=true)","那今天假設我們可以 sample 足夠的次數","那 今天 假設 我們 可以 SAMPLE 通過 的 次數 "
"[DRL_Lecture_7_-_Sparse_Reward-78](https://github.com/B06901141/Triphone-Demo/blob/master//dev/DRL_Lecture_7_-_Sparse_Reward-78.wav?raw=true)","小孩當作一個 agent 的話","小孩 在 這個 REGION 的話 "
"[DRL_Lecture_8_-_Imitation_Learning-78](https://github.com/B06901141/Triphone-Demo/blob/master//dev/DRL_Lecture_8_-_Imitation_Learning-78.wav?raw=true)","人在 state s3  會採取 action  a3","的 TASK 上 會 採取 ACTION A "
"[Deep_Learning_Theory_1-2_-_Potential_of_Deep-78](https://github.com/B06901141/Triphone-Demo/blob/master//dev/Deep_Learning_Theory_1-2_-_Potential_of_Deep-78.wav?raw=true)","match key，看看這邊有沒有那個 key 出現","BATCH 你 有沒有 跟 你 出現 "
"[Deep_Learning_Theory_1-2_-_Potential_of_Deep-780](https://github.com/B06901141/Triphone-Demo/blob/master//dev/Deep_Learning_Theory_1-2_-_Potential_of_Deep-780.wav?raw=true)","所以 f2(x) 他有 4 個片段","好 這 N 之間 呢 它 就 四個 簡短 "
"[Deep_Learning_Theory_1-2_-_Potential_of_Deep-781](https://github.com/B06901141/Triphone-Demo/blob/master//dev/Deep_Learning_Theory_1-2_-_Potential_of_Deep-781.wav?raw=true)","2^2，總共 4 個片段","這個 而是 反正 不是 的 平方 "
"[Deep_Learning_Theory_1-2_-_Potential_of_Deep-782](https://github.com/B06901141/Triphone-Demo/blob/master//dev/Deep_Learning_Theory_1-2_-_Potential_of_Deep-782.wav?raw=true)","他是從 0 到 1/2（此處口誤，應為 1/4）","它 是 考慮 到 特性 "
"[Deep_Learning_Theory_1-2_-_Potential_of_Deep-783](https://github.com/B06901141/Triphone-Demo/blob/master//dev/Deep_Learning_Theory_1-2_-_Potential_of_Deep-783.wav?raw=true)","0 到 1/4，1/4 到 1/2，1/2 到 3/4，3/4 到 1","只要 你 要 乘 根據 這個 需要 代表 代表 這個 這樣 子 的 你 "
"[Deep_Learning_Theory_1-2_-_Potential_of_Deep-784](https://github.com/B06901141/Triphone-Demo/blob/master//dev/Deep_Learning_Theory_1-2_-_Potential_of_Deep-784.wav?raw=true)","總共四個片段","是 更 簡單 "
"[Deep_Learning_Theory_1-2_-_Potential_of_Deep-785](https://github.com/B06901141/Triphone-Demo/blob/master//dev/Deep_Learning_Theory_1-2_-_Potential_of_Deep-785.wav?raw=true)","那你會發現說其實","那 你 的 方向 呢 其實 "
"[Deep_Learning_Theory_1-2_-_Potential_of_Deep-786](https://github.com/B06901141/Triphone-Demo/blob/master//dev/Deep_Learning_Theory_1-2_-_Potential_of_Deep-786.wav?raw=true)","f2(x) 其實跟 x^2 其實也滿接近的，所以","TESTING 的 跟 一直 到 X 也 蠻 近 誰 比較 接近 的 "
"[Deep_Learning_Theory_1-2_-_Potential_of_Deep-787](https://github.com/B06901141/Triphone-Demo/blob/master//dev/Deep_Learning_Theory_1-2_-_Potential_of_Deep-787.wav?raw=true)","你有點看不清楚 f2(x) 在哪裡","它們 清楚 的 X 在 哪裡 "
"[Deep_Learning_Theory_1-2_-_Potential_of_Deep-788](https://github.com/B06901141/Triphone-Demo/blob/master//dev/Deep_Learning_Theory_1-2_-_Potential_of_Deep-788.wav?raw=true)","哪如果你畫 f3(x) 的話","那 如果 你 轉換 X 在 的話 "
